"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","6.3%","6.4%","6.8%","6.9%","6.9%","7.1%","6.3%","6.1%","6.0%","6.3%","6.5%","6.7%","6.4%","5.4%","4.2%","2.7%","1.7%","1.2%","","13.2%","4.1%","23.6%","9.7%","39.3%","79.2%","76.4%","72.1%","21.7%","19.0%","15.2%","5.7%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,527,452","","144,353","143,839","154,917","159,017","160,295","167,471","157,327","156,541","151,181","159,156","163,463","172,950","169,716","146,223","118,676","81,975","60,785","59,567","","298,756","92,168","535,277","227,144","951,832","2,053,750","1,992,175","1,889,791","636,942","566,463","467,226","202,327","","40.6","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","5.7%","5.7%","6.1%","6.3%","6.3%","6.6%","6.2%","6.2%","6.0%","6.3%","6.5%","6.8%","6.7%","5.8%","4.7%","3.2%","2.4%","2.4%","","11.8%","3.6%","21.2%","9.0%","37.7%","81.3%","78.8%","74.8%","25.2%","22.4%","18.5%","8.0%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","736,990","","52,302","52,825","49,395","46,257","52,775","61,328","57,278","51,647","42,647","43,836","45,215","49,124","44,732","35,771","23,573","12,932","8,472","6,881","","102,220","28,837","183,359","70,195","311,932","572,684","553,631","526,714","132,361","113,213","87,629","28,285","","34.6","109.2","58.2","18.8","39.3","","(X)","(X)"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","7.1%","7.2%","6.7%","6.3%","7.2%","8.3%","7.8%","7.0%","5.8%","5.9%","6.1%","6.7%","6.1%","4.9%","3.2%","1.8%","1.1%","0.9%","","13.9%","3.9%","24.9%","9.5%","42.3%","77.7%","75.1%","71.5%","18.0%","15.4%","11.9%","3.8%","","(X)","(X)","(X)","(X)","(X)","","0.1%","2.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","384,653","","26,684","26,976","25,643","24,513","30,455","32,803","29,948","26,780","21,996","23,118","23,790","25,402","23,092","18,958","11,671","6,120","3,957","2,747","","52,619","14,990","94,293","39,978","166,495","300,545","290,360","275,127","66,545","56,854","43,453","12,824","","34.1","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","6.9%","7.0%","6.7%","6.4%","7.9%","8.5%","7.8%","7.0%","5.7%","6.0%","6.2%","6.6%","6.0%","4.9%","3.0%","1.6%","1.0%","0.7%","","13.7%","3.9%","24.5%","10.4%","43.3%","78.1%","75.5%","71.5%","17.3%","14.8%","11.3%","3.3%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","352,337","","25,618","25,849","23,752","21,744","22,320","28,525","27,330","24,867","20,651","20,718","21,425","23,722","21,640","16,813","11,902","6,812","4,515","4,134","","49,601","13,847","89,066","30,217","145,437","272,139","263,271","251,587","65,816","56,359","44,176","15,461","","35.2","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","7.3%","7.3%","6.7%","6.2%","6.3%","8.1%","7.8%","7.1%","5.9%","5.9%","6.1%","6.7%","6.1%","4.8%","3.4%","1.9%","1.3%","1.2%","","14.1%","3.9%","25.3%","8.6%","41.3%","77.2%","74.7%","71.4%","18.7%","16.0%","12.5%","4.4%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,174,064","","431,224","444,859","482,609","478,165","491,151","513,314","473,473","452,699","429,416","429,475","421,470","436,015","427,990","399,549","330,049","240,633","151,588","140,385","","927,468","280,953","1,639,645","688,363","2,838,218","5,720,956","5,534,419","5,234,229","1,690,194","1,514,419","1,262,204","532,606","","37.9","98.8","67.9","29.5","38.4","","(X)","(X)"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","6.0%","6.2%","6.7%","6.7%","6.8%","7.2%","6.6%","6.3%","6.0%","6.0%","5.9%","6.1%","6.0%","5.6%","4.6%","3.4%","2.1%","2.0%","","12.9%","3.9%","22.9%","9.6%","39.6%","79.7%","77.1%","73.0%","23.6%","21.1%","17.6%","7.4%","","(X)","(X)","(X)","(X)","(X)","","0.1%","1.7%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,564,979","","220,346","225,723","246,866","243,721","255,949","266,718","244,743","228,667","217,678","213,739","207,757","209,429","202,288","184,892","155,977","112,626","71,372","56,488","","472,589","143,488","836,423","356,182","1,457,476","2,823,643","2,728,556","2,574,790","783,643","698,964","581,355","240,486","","36.7","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","6.2%","6.3%","6.9%","6.8%","7.2%","7.5%","6.9%","6.4%","6.1%","6.0%","5.8%","5.9%","5.7%","5.2%","4.4%","3.2%","2.0%","1.6%","","13.3%","4.0%","23.5%","10.0%","40.9%","79.2%","76.5%","72.2%","22.0%","19.6%","16.3%","6.7%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,609,085","","210,878","219,136","235,743","234,444","235,202","246,596","228,730","224,032","211,738","215,736","213,713","226,586","225,702","214,657","174,072","128,007","80,216","83,897","","454,879","137,465","803,222","332,181","1,380,742","2,897,313","2,805,863","2,659,439","906,551","815,455","680,849","292,120","","39.3","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","5.8%","6.1%","6.5%","6.5%","6.5%","6.8%","6.3%","6.2%","5.9%","6.0%","5.9%","6.3%","6.3%","5.9%","4.8%","3.5%","2.2%","2.3%","","12.6%","3.8%","22.3%","9.2%","38.3%","80.3%","77.7%","73.7%","25.1%","22.6%","18.9%","8.1%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,011,873","","188,445","194,331","200,291","200,952","201,132","203,558","191,234","189,573","181,798","182,188","184,295","195,694","188,265","167,043","129,863","94,430","59,158","59,623","","394,622","119,765","702,832","282,319","1,168,247","2,388,169","2,309,041","2,183,268","698,382","619,025","510,117","213,211","","38.3","96.4","67.4","28.4","39.1","","(X)","(X)"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","6.3%","6.5%","6.7%","6.7%","6.7%","6.8%","6.3%","6.3%","6.0%","6.0%","6.1%","6.5%","6.3%","5.5%","4.3%","3.1%","2.0%","2.0%","","13.1%","4.0%","23.3%","9.4%","38.8%","79.3%","76.7%","72.5%","23.2%","20.6%","16.9%","7.1%","","(X)","(X)","(X)","(X)","(X)","","0.1%","1.9%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,478,511","","96,802","98,969","103,012","102,200","103,540","102,338","95,817","94,009","90,127","89,617","90,606","95,723","89,196","78,684","59,448","42,409","25,072","20,942","","201,981","60,923","359,706","144,817","588,031","1,159,368","1,118,805","1,053,405","315,751","278,410","226,555","88,423","","36.9","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","6.5%","6.7%","7.0%","6.9%","7.0%","6.9%","6.5%","6.4%","6.1%","6.1%","6.1%","6.5%","6.0%","5.3%","4.0%","2.9%","1.7%","1.4%","","13.7%","4.1%","24.3%","9.8%","39.8%","78.4%","75.7%","71.2%","21.4%","18.8%","15.3%","6.0%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,533,362","","91,643","95,362","97,279","98,752","97,592","101,220","95,417","95,564","91,671","92,571","93,689","99,971","99,069","88,359","70,415","52,021","34,086","38,681","","192,641","58,842","343,126","137,502","580,216","1,228,801","1,190,236","1,129,863","382,631","340,615","283,562","124,788","","39.7","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","6.0%","6.2%","6.3%","6.4%","6.4%","6.6%","6.2%","6.2%","6.0%","6.0%","6.1%","6.5%","6.5%","5.8%","4.6%","3.4%","2.2%","2.5%","","12.6%","3.8%","22.4%","9.0%","37.8%","80.1%","77.6%","73.7%","25.0%","22.2%","18.5%","8.1%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39,346,023","","2,409,082","2,431,647","2,597,443","2,548,072","2,694,636","3,084,036","2,923,877","2,710,180","2,523,723","2,537,197","2,501,958","2,485,487","2,254,188","1,865,387","1,404,993","951,622","657,751","764,744","","5,029,090","1,518,469","8,956,641","3,724,239","16,484,524","31,403,964","30,389,382","28,814,732","7,898,685","6,934,362","5,644,497","2,374,117","","36.7","98.9","59.0","22.8","36.2","","(X)","(X)"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","6.1%","6.2%","6.6%","6.5%","6.8%","7.8%","7.4%","6.9%","6.4%","6.4%","6.4%","6.3%","5.7%","4.7%","3.6%","2.4%","1.7%","1.9%","","12.8%","3.9%","22.8%","9.5%","41.9%","79.8%","77.2%","73.2%","20.1%","17.6%","14.3%","6.0%","","(X)","(X)","(X)","(X)","(X)","","0.0%","2.1%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,562,882","","1,233,088","1,242,495","1,328,272","1,300,581","1,388,360","1,594,429","1,505,530","1,377,089","1,265,725","1,264,479","1,245,267","1,216,743","1,089,379","878,068","643,905","427,222","278,926","283,324","","2,570,767","774,841","4,578,696","1,914,100","8,431,714","15,505,356","14,984,186","14,172,539","3,600,824","3,129,929","2,511,445","989,472","","35.6","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","6.3%","6.4%","6.8%","6.6%","7.1%","8.2%","7.7%","7.0%","6.5%","6.5%","6.4%","6.2%","5.6%","4.5%","3.3%","2.2%","1.4%","1.4%","","13.1%","4.0%","23.4%","9.8%","43.1%","79.3%","76.6%","72.4%","18.4%","16.0%","12.8%","5.1%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,783,141","","1,175,994","1,189,152","1,269,171","1,247,491","1,306,276","1,489,607","1,418,347","1,333,091","1,257,998","1,272,718","1,256,691","1,268,744","1,164,809","987,319","761,088","524,400","378,825","481,420","","2,458,323","743,628","4,377,945","1,810,139","8,052,810","15,898,608","15,405,196","14,642,193","4,297,861","3,804,433","3,133,052","1,384,645","","37.9","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","5.9%","6.0%","6.4%","6.3%","6.6%","7.5%","7.2%","6.7%","6.4%","6.4%","6.4%","6.4%","5.9%","5.0%","3.8%","2.7%","1.9%","2.4%","","12.4%","3.8%","22.1%","9.1%","40.7%","80.4%","77.9%","74.0%","21.7%","19.2%","15.8%","7.0%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,684,926","","330,939","348,555","364,153","362,041","378,484","449,799","442,474","410,075","372,950","363,217","346,765","370,274","336,863","289,442","211,526","131,069","82,872","93,428","","712,708","215,384","1,259,031","525,141","2,415,823","4,568,027","4,425,895","4,201,557","1,145,200","1,000,931","808,337","307,369","","36.9","101.4","57.1","22.3","34.8","","(X)","(X)"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","5.8%","6.1%","6.4%","6.4%","6.7%","7.9%","7.8%","7.2%","6.6%","6.4%","6.1%","6.5%","5.9%","5.1%","3.7%","2.3%","1.5%","1.6%","","12.5%","3.8%","22.1%","9.2%","42.5%","80.4%","77.9%","73.9%","20.1%","17.6%","14.2%","5.4%","","(X)","(X)","(X)","(X)","(X)","","0.1%","1.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,862,153","","168,650","177,258","187,579","187,068","197,825","235,076","231,592","211,213","191,858","185,226","173,459","182,552","162,930","138,142","100,887","61,043","35,581","34,214","","364,837","110,519","644,006","274,374","1,254,632","2,290,902","2,218,147","2,100,253","532,797","463,182","369,867","130,838","","36.0","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","5.9%","6.2%","6.6%","6.5%","6.9%","8.2%","8.1%","7.4%","6.7%","6.5%","6.1%","6.4%","5.7%","4.8%","3.5%","2.1%","1.2%","1.2%","","12.7%","3.9%","22.5%","9.6%","43.8%","80.0%","77.5%","73.4%","18.6%","16.2%","12.9%","4.6%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,822,773","","162,289","171,297","176,574","174,973","180,659","214,723","210,882","198,862","181,092","177,991","173,306","187,722","173,933","151,300","110,639","70,026","47,291","59,214","","347,871","104,865","615,025","250,767","1,161,191","2,277,125","2,207,748","2,101,304","612,403","537,749","438,470","176,531","","37.9","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","5.7%","6.1%","6.3%","6.2%","6.4%","7.6%","7.5%","7.0%","6.4%","6.3%","6.1%","6.7%","6.2%","5.4%","3.9%","2.5%","1.7%","2.1%","","12.3%","3.7%","21.8%","8.9%","41.1%","80.7%","78.2%","74.4%","21.7%","19.1%","15.5%","6.3%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,570,549","","182,708","192,321","221,648","241,286","243,381","222,305","221,612","213,964","212,133","233,980","259,206","267,164","243,375","193,132","152,275","103,353","72,556","94,150","","413,969","138,907","735,584","345,760","1,354,681","2,927,839","2,834,965","2,682,131","858,841","753,164","615,466","270,059","","41.1","95.2","60.9","27.7","33.1","","(X)","(X)"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","5.1%","5.4%","6.2%","6.8%","6.8%","6.2%","6.2%","6.0%","5.9%","6.6%","7.3%","7.5%","6.8%","5.4%","4.3%","2.9%","2.0%","2.6%","","11.6%","3.9%","20.6%","9.7%","37.9%","82.0%","79.4%","75.1%","24.1%","21.1%","17.2%","7.6%","","(X)","(X)","(X)","(X)","(X)","","0.1%","1.5%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,741,688","","93,725","97,435","113,376","123,304","125,316","114,689","110,988","104,519","104,625","113,333","125,579","129,101","117,487","90,446","70,100","45,954","29,534","32,177","","210,811","71,199","375,735","177,421","683,441","1,414,220","1,365,953","1,288,633","385,698","335,326","268,211","107,665","","39.4","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","5.4%","5.6%","6.5%","7.1%","7.2%","6.6%","6.4%","6.0%","6.0%","6.5%","7.2%","7.4%","6.7%","5.2%","4.0%","2.6%","1.7%","1.8%","","12.1%","4.1%","21.6%","10.2%","39.2%","81.2%","78.4%","74.0%","22.1%","19.3%","15.4%","6.2%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,828,861","","88,983","94,886","108,272","117,982","118,065","107,616","110,624","109,445","107,508","120,647","133,627","138,063","125,888","102,686","82,175","57,399","43,022","61,973","","203,158","67,708","359,849","168,339","671,240","1,513,619","1,469,012","1,393,498","473,143","417,838","347,255","162,394","","42.7","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","4.9%","5.2%","5.9%","6.5%","6.5%","5.9%","6.0%","6.0%","5.9%","6.6%","7.3%","7.5%","6.9%","5.6%","4.5%","3.1%","2.4%","3.4%","","11.1%","3.7%","19.7%","9.2%","36.7%","82.8%","80.3%","76.2%","25.9%","22.8%","19.0%","8.9%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","967,679","","54,774","55,329","59,081","60,143","58,482","66,200","62,526","56,984","54,989","57,853","64,029","68,761","66,504","61,528","47,443","33,937","20,273","18,843","","114,410","35,023","204,207","83,602","359,324","787,102","763,472","725,204","248,528","222,336","182,024","73,053","","41.0","93.6","66.4","31.3","35.1","","(X)","(X)"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","5.7%","5.7%","6.1%","6.2%","6.0%","6.8%","6.5%","5.9%","5.7%","6.0%","6.6%","7.1%","6.9%","6.4%","4.9%","3.5%","2.1%","1.9%","","11.8%","3.6%","21.1%","8.6%","37.1%","81.3%","78.9%","74.9%","25.7%","23.0%","18.8%","7.5%","","(X)","(X)","(X)","(X)","(X)","","0.1%","1.6%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","467,720","","27,809","27,824","30,047","30,165","29,779","33,274","31,190","28,422","26,226","27,848","30,577","33,766","29,592","27,772","22,363","15,059","8,782","7,225","","57,871","17,720","103,400","42,224","179,056","376,389","364,320","345,525","110,793","99,246","81,201","31,066","","39.1","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","5.9%","5.9%","6.4%","6.4%","6.4%","7.1%","6.7%","6.1%","5.6%","6.0%","6.5%","7.2%","6.3%","5.9%","4.8%","3.2%","1.9%","1.5%","","12.4%","3.8%","22.1%","9.0%","38.3%","80.5%","77.9%","73.9%","23.7%","21.2%","17.4%","6.6%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","499,959","","26,965","27,505","29,034","29,978","28,703","32,926","31,336","28,562","28,763","30,005","33,452","34,995","36,912","33,756","25,080","18,878","11,491","11,618","","56,539","17,303","100,807","41,378","180,268","410,713","399,152","379,679","137,735","123,090","100,823","41,987","","42.9","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","5.4%","5.5%","5.8%","6.0%","5.7%","6.6%","6.3%","5.7%","5.8%","6.0%","6.7%","7.0%","7.4%","6.8%","5.0%","3.8%","2.3%","2.3%","","11.3%","3.5%","20.2%","8.3%","36.1%","82.1%","79.8%","75.9%","27.5%","24.6%","20.2%","8.4%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","701,974","","44,913","35,069","30,443","36,863","52,700","83,125","80,773","61,879","44,118","38,775","37,072","36,289","34,043","28,175","21,256","15,324","9,887","11,270","","65,512","15,623","126,048","73,940","359,458","586,181","575,926","543,440","119,955","106,102","85,912","36,481","","34.1","90.3","43.3","17.5","25.7","","(X)","(X)"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","6.4%","5.0%","4.3%","5.3%","7.5%","11.8%","11.5%","8.8%","6.3%","5.5%","5.3%","5.2%","4.8%","4.0%","3.0%","2.2%","1.4%","1.6%","","9.3%","2.2%","18.0%","10.5%","51.2%","83.5%","82.0%","77.4%","17.1%","15.1%","12.2%","5.2%","","(X)","(X)","(X)","(X)","(X)","","0.1%","2.4%"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","333,137","","22,906","18,008","14,986","17,013","24,227","38,336","38,702","30,589","21,555","19,464","18,632","18,823","14,685","12,318","9,092","6,202","3,779","3,820","","32,994","7,801","63,701","33,439","170,422","274,252","269,436","255,035","49,896","43,581","35,211","13,801","","34.0","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","","6.9%","5.4%","4.5%","5.1%","7.3%","11.5%","11.6%","9.2%","6.5%","5.8%","5.6%","5.7%","4.4%","3.7%","2.7%","1.9%","1.1%","1.1%","","9.9%","2.3%","19.1%","10.0%","51.2%","82.3%","80.9%","76.6%","15.0%","13.1%","10.6%","4.1%","","(X)","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","368,837","","22,007","17,061","15,457","19,850","28,473","44,789","42,071","31,290","22,563","19,311","18,440","17,466","19,358","15,857","12,164","9,122","6,108","7,450","","32,518","7,822","62,347","40,501","189,036","311,929","306,490","288,405","70,059","62,521","50,701","22,680","","34.2","(X)","(X)","(X)","(X)","","(X)","(X)"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
