"    Estimate","","572,684","386,787","367,921","341,492","26,429","18,866","185,897","367,921","(X)","272,139","172,899","170,544","159,935","60,524","36,274","112,155","76,620","","351,387","239,445","42,406","4,247","26,789","17,316","21,184","18.9","","341,492","130,500","60,360","69,730","39,444","41,458","","341,492","15,309","23,020","12,863","6,121","35,990","30,313","6,696","13,020","27,966","83,842","30,811","15,216","40,325","","341,492","229,386","88,510","22,761","835","","255,173","9,818","7,476","15,839","17,156","25,805","46,607","36,114","49,216","24,610","22,532","77,790","98,811","213,037","94,644","61,676","17,837","56,058","36,023","11,013","10,476","15,625","3,901","26,313","167,815","4,246","2,761","6,571","9,116","14,362","29,030","24,622","38,486","20,235","18,386","92,648","112,443","37,094","87,358","51,651","66,220","40,471","61,539","51,273","","711,104","621,339","463,817","243,500","89,765","191,841","18,280","433,196","337,955","314,157","269,047","241,033","44,153","45,110","23,798","16,485","8,366","9,140","7,313","95,241","76,920","46,881","37,582","18,321","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Percent","","572,684","67.5%","64.2%","59.6%","4.6%","3.3%","32.5%","367,921","7.2%","272,139","63.5%","62.7%","58.8%","60,524","59.9%","112,155","68.3%","","351,387","68.1%","12.1%","1.2%","7.6%","4.9%","6.0%","(X)","","341,492","38.2%","17.7%","20.4%","11.6%","12.1%","","341,492","4.5%","6.7%","3.8%","1.8%","10.5%","8.9%","2.0%","3.8%","8.2%","24.6%","9.0%","4.5%","11.8%","","341,492","67.2%","25.9%","6.7%","0.2%","","255,173","3.8%","2.9%","6.2%","6.7%","10.1%","18.3%","14.2%","19.3%","9.6%","8.8%","(X)","(X)","83.5%","(X)","24.2%","(X)","22.0%","(X)","4.3%","(X)","6.1%","(X)","10.3%","167,815","2.5%","1.6%","3.9%","5.4%","8.6%","17.3%","14.7%","22.9%","12.1%","11.0%","(X)","(X)","(X)","87,358","(X)","(X)","(X)","(X)","(X)","","711,104","87.4%","65.2%","34.2%","12.6%","191,841","9.5%","433,196","337,955","314,157","85.6%","76.7%","14.1%","14.4%","23,798","69.3%","35.2%","38.4%","30.7%","95,241","80.8%","49.2%","39.5%","19.2%","","7.0%","10.7%","11.6%","3.4%","4.7%","4.9%","21.2%","28.3%","29.1%","10.3%","13.8%","13.4%","16.2%","12.3%","9.2%","9.7%","6.5%","8.0%","19.1%"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","5,720,956","3,436,482","3,415,201","3,215,843","199,358","21,281","2,284,474","3,415,201","(X)","2,897,313","1,599,392","1,596,169","1,503,137","492,191","305,078","1,048,800","712,467","","3,179,988","2,369,970","339,273","50,759","58,666","78,986","282,334","25.8","","3,215,843","1,208,410","600,694","769,735","286,436","350,568","","3,215,843","40,288","227,330","225,849","73,001","387,039","176,472","57,155","276,892","401,554","707,882","335,600","150,110","156,671","","3,215,843","2,569,300","443,112","197,542","5,889","","2,643,430","157,193","98,275","227,348","238,460","351,611","492,864","349,684","397,638","161,192","169,165","61,529","84,380","1,977,058","84,708","905,661","21,338","614,255","28,725","114,021","10,509","47,592","3,061","277,120","1,720,736","67,357","36,619","107,342","130,638","208,872","328,703","255,045","313,051","133,474","139,635","73,456","97,003","32,340","922,694","39,829","56,121","34,302","50,312","42,071","","7,065,326","6,317,548","4,471,339","2,719,633","747,778","1,739,980","148,596","4,075,063","3,125,553","2,954,691","2,561,395","2,271,181","377,409","393,296","170,862","128,374","61,640","72,177","42,488","949,510","796,689","448,749","407,453","152,821","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Percent","","5,720,956","60.1%","59.7%","56.2%","3.5%","0.4%","39.9%","3,415,201","5.8%","2,897,313","55.2%","55.1%","51.9%","492,191","62.0%","1,048,800","67.9%","","3,179,988","74.5%","10.7%","1.6%","1.8%","2.5%","8.9%","(X)","","3,215,843","37.6%","18.7%","23.9%","8.9%","10.9%","","3,215,843","1.3%","7.1%","7.0%","2.3%","12.0%","5.5%","1.8%","8.6%","12.5%","22.0%","10.4%","4.7%","4.9%","","3,215,843","79.9%","13.8%","6.1%","0.2%","","2,643,430","5.9%","3.7%","8.6%","9.0%","13.3%","18.6%","13.2%","15.0%","6.1%","6.4%","(X)","(X)","74.8%","(X)","34.3%","(X)","23.2%","(X)","4.3%","(X)","1.8%","(X)","10.5%","1,720,736","3.9%","2.1%","6.2%","7.6%","12.1%","19.1%","14.8%","18.2%","7.8%","8.1%","(X)","(X)","(X)","922,694","(X)","(X)","(X)","(X)","(X)","","7,065,326","89.4%","63.3%","38.5%","10.6%","1,739,980","8.5%","4,075,063","3,125,553","2,954,691","86.7%","76.9%","12.8%","13.3%","170,862","75.1%","36.1%","42.2%","24.9%","949,510","83.9%","47.3%","42.9%","16.1%","","10.1%","15.9%","14.0%","5.8%","8.3%","6.2%","24.9%","33.1%","34.4%","14.1%","20.0%","19.7%","21.6%","19.0%","12.4%","13.4%","8.9%","11.8%","23.4%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,388,169","1,386,758","1,381,452","1,309,748","71,704","5,306","1,001,411","1,381,452","(X)","1,228,801","663,294","662,323","629,052","213,162","140,694","441,934","308,447","","1,294,646","1,065,652","132,530","3,950","21,187","14,781","56,546","21.8","","1,309,748","456,538","217,074","278,061","131,748","226,327","","1,309,748","35,004","90,504","175,414","32,037","170,961","77,392","18,007","64,276","100,720","321,734","103,098","63,059","57,542","","1,309,748","1,029,511","199,049","78,483","2,705","","1,170,544","87,109","66,021","139,291","132,435","165,405","215,100","135,461","136,718","46,660","46,344","49,475","69,357","854,877","72,393","420,921","19,242","240,221","21,967","75,715","9,709","21,461","3,097","136,675","770,111","33,568","22,349","64,221","77,530","106,550","154,937","110,079","118,135","41,687","41,055","62,067","82,767","27,724","400,433","27,792","40,847","31,343","45,269","36,482","","2,957,271","2,711,291","1,800,405","1,291,530","245,980","742,460","34,847","1,720,686","1,264,597","1,201,973","1,068,569","953,799","155,474","133,404","62,624","44,005","20,435","25,407","18,619","456,089","399,389","191,035","247,565","56,700","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Percent","","2,388,169","58.1%","57.8%","54.8%","3.0%","0.2%","41.9%","1,381,452","5.2%","1,228,801","54.0%","53.9%","51.2%","213,162","66.0%","441,934","69.8%","","1,294,646","82.3%","10.2%","0.3%","1.6%","1.1%","4.4%","(X)","","1,309,748","34.9%","16.6%","21.2%","10.1%","17.3%","","1,309,748","2.7%","6.9%","13.4%","2.4%","13.1%","5.9%","1.4%","4.9%","7.7%","24.6%","7.9%","4.8%","4.4%","","1,309,748","78.6%","15.2%","6.0%","0.2%","","1,170,544","7.4%","5.6%","11.9%","11.3%","14.1%","18.4%","11.6%","11.7%","4.0%","4.0%","(X)","(X)","73.0%","(X)","36.0%","(X)","20.5%","(X)","6.5%","(X)","1.8%","(X)","11.7%","770,111","4.4%","2.9%","8.3%","10.1%","13.8%","20.1%","14.3%","15.3%","5.4%","5.3%","(X)","(X)","(X)","400,433","(X)","(X)","(X)","(X)","(X)","","2,957,271","91.7%","60.9%","43.7%","8.3%","742,460","4.7%","1,720,686","1,264,597","1,201,973","88.9%","79.4%","12.9%","11.1%","62,624","70.3%","32.6%","40.6%","29.7%","456,089","87.6%","41.9%","54.3%","12.4%","","11.8%","18.6%","20.4%","5.8%","8.4%","7.7%","31.7%","40.8%","48.0%","16.1%","22.0%","21.7%","25.8%","20.1%","14.3%","15.5%","9.8%","13.0%","29.2%"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","31,403,964","20,016,955","19,875,973","18,646,894","1,229,079","140,982","11,387,009","19,875,973","(X)","15,898,608","9,190,012","9,170,541","8,597,880","2,772,890","1,761,794","5,765,599","3,885,070","","18,239,892","13,146,038","1,817,094","843,498","461,980","441,585","1,529,697","29.8","","18,646,894","7,517,770","3,376,613","3,903,884","1,638,447","2,210,180","","18,646,894","394,290","1,190,537","1,676,497","514,234","1,942,421","1,028,818","542,674","1,118,253","2,581,266","3,960,265","1,894,858","952,302","850,479","","18,646,894","14,554,750","2,595,408","1,460,146","36,590","","13,103,114","614,887","507,398","909,475","929,716","1,316,064","2,007,523","1,616,338","2,235,114","1,227,224","1,739,375","78,672","111,622","10,599,418","111,920","3,674,795","19,597","2,426,014","34,737","793,001","10,262","437,677","4,684","1,183,873","8,986,666","280,427","184,721","499,848","579,413","874,117","1,361,792","1,148,221","1,677,378","968,078","1,412,671","89,798","124,332","38,576","4,116,448","50,894","76,668","38,176","58,031","50,693","","38,838,726","36,032,553","24,962,786","14,750,621","2,806,173","9,465,391","308,355","23,824,911","18,470,670","17,370,196","15,757,438","13,512,601","2,664,297","1,612,758","1,100,474","902,054","465,813","469,243","198,420","5,354,241","4,726,293","2,680,776","2,321,321","627,948","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Percent","","31,403,964","63.7%","63.3%","59.4%","3.9%","0.4%","36.3%","19,875,973","6.2%","15,898,608","57.8%","57.7%","54.1%","2,772,890","63.5%","5,765,599","67.4%","","18,239,892","72.1%","10.0%","4.6%","2.5%","2.4%","8.4%","(X)","","18,646,894","40.3%","18.1%","20.9%","8.8%","11.9%","","18,646,894","2.1%","6.4%","9.0%","2.8%","10.4%","5.5%","2.9%","6.0%","13.8%","21.2%","10.2%","5.1%","4.6%","","18,646,894","78.1%","13.9%","7.8%","0.2%","","13,103,114","4.7%","3.9%","6.9%","7.1%","10.0%","15.3%","12.3%","17.1%","9.4%","13.3%","(X)","(X)","80.9%","(X)","28.0%","(X)","18.5%","(X)","6.1%","(X)","3.3%","(X)","9.0%","8,986,666","3.1%","2.1%","5.6%","6.4%","9.7%","15.2%","12.8%","18.7%","10.8%","15.7%","(X)","(X)","(X)","4,116,448","(X)","(X)","(X)","(X)","(X)","","38,838,726","92.8%","64.3%","38.0%","7.2%","9,465,391","3.3%","23,824,911","18,470,670","17,370,196","90.7%","77.8%","15.3%","9.3%","1,100,474","82.0%","42.3%","42.6%","18.0%","5,354,241","88.3%","50.1%","43.4%","11.7%","","9.0%","13.3%","10.6%","5.4%","7.3%","4.6%","21.5%","31.0%","32.9%","12.6%","16.8%","16.5%","17.0%","16.3%","11.3%","11.6%","10.3%","9.9%","24.9%"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","4,568,027","3,115,754","3,079,769","2,937,047","142,722","35,985","1,452,273","3,079,769","(X)","2,277,125","1,433,641","1,428,359","1,363,729","386,461","250,527","819,846","593,027","","2,919,907","2,127,579","250,454","82,173","81,786","62,706","315,209","25.8","","2,937,047","1,277,439","484,482","614,608","265,977","294,541","","2,937,047","65,222","236,667","200,434","68,804","309,926","142,072","80,484","208,347","418,809","623,737","304,725","143,771","134,049","","2,937,047","2,348,213","397,973","183,873","6,988","","2,137,402","96,924","65,782","141,421","154,659","235,113","371,492","290,253","388,652","186,878","206,228","75,231","100,933","1,746,669","99,714","557,238","20,118","419,222","32,379","72,118","10,428","45,838","3,339","154,593","1,358,903","32,318","21,097","53,116","73,840","127,297","225,365","200,910","297,912","153,420","173,628","92,752","119,073","39,545","778,499","47,627","65,208","39,394","58,307","48,212","","5,588,760","5,152,499","3,942,293","1,814,299","436,261","1,331,681","64,352","3,464,315","2,823,720","2,699,614","2,434,574","2,200,495","311,934","265,040","124,106","98,883","56,413","46,978","25,223","640,595","564,787","360,674","246,315","75,808","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Percent","","4,568,027","68.2%","67.4%","64.3%","3.1%","0.8%","31.8%","3,079,769","4.6%","2,277,125","63.0%","62.7%","59.9%","386,461","64.8%","819,846","72.3%","","2,919,907","72.9%","8.6%","2.8%","2.8%","2.1%","10.8%","(X)","","2,937,047","43.5%","16.5%","20.9%","9.1%","10.0%","","2,937,047","2.2%","8.1%","6.8%","2.3%","10.6%","4.8%","2.7%","7.1%","14.3%","21.2%","10.4%","4.9%","4.6%","","2,937,047","80.0%","13.6%","6.3%","0.2%","","2,137,402","4.5%","3.1%","6.6%","7.2%","11.0%","17.4%","13.6%","18.2%","8.7%","9.6%","(X)","(X)","81.7%","(X)","26.1%","(X)","19.6%","(X)","3.4%","(X)","2.1%","(X)","7.2%","1,358,903","2.4%","1.6%","3.9%","5.4%","9.4%","16.6%","14.8%","21.9%","11.3%","12.8%","(X)","(X)","(X)","778,499","(X)","(X)","(X)","(X)","(X)","","5,588,760","92.2%","70.5%","32.5%","7.8%","1,331,681","4.8%","3,464,315","2,823,720","2,699,614","90.2%","81.5%","11.6%","9.8%","124,106","79.7%","45.5%","37.9%","20.3%","640,595","88.2%","56.3%","38.5%","11.8%","","6.1%","9.5%","8.7%","3.4%","4.6%","3.8%","19.8%","26.7%","33.4%","9.8%","11.5%","11.2%","12.3%","10.8%","9.3%","9.7%","7.4%","6.8%","20.5%"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,927,839","1,933,145","1,923,759","1,807,525","116,234","9,386","994,694","1,923,759","(X)","1,513,619","934,818","934,103","880,917","213,009","155,993","496,941","381,938","","1,777,570","1,355,510","139,227","77,433","47,218","22,419","135,763","26.7","","1,807,525","804,316","312,206","377,047","129,694","184,262","","1,807,525","7,173","110,308","188,968","42,782","190,314","78,107","36,880","163,661","211,665","478,318","149,684","82,940","66,725","","1,807,525","1,459,801","231,561","113,012","3,151","","1,385,437","68,078","47,492","94,433","94,907","138,385","214,021","169,430","243,261","132,437","182,993","79,855","115,337","1,091,013","117,845","439,260","21,670","304,065","32,052","65,221","10,210","46,390","4,078","160,438","902,996","24,418","14,648","38,026","46,409","75,375","129,070","113,813","189,460","110,975","160,802","102,061","139,506","45,668","482,441","45,539","65,681","42,996","68,716","55,546","","3,520,172","3,341,106","2,509,995","1,256,841","179,066","786,563","22,469","2,138,383","1,737,273","1,636,600","1,529,273","1,358,107","204,831","107,327","100,673","87,520","45,117","45,569","13,153","401,110","368,970","225,705","165,143","32,140","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Percent","","2,927,839","66.0%","65.7%","61.7%","4.0%","0.3%","34.0%","1,923,759","6.0%","1,513,619","61.8%","61.7%","58.2%","213,009","73.2%","496,941","76.9%","","1,777,570","76.3%","7.8%","4.4%","2.7%","1.3%","7.6%","(X)","","1,807,525","44.5%","17.3%","20.9%","7.2%","10.2%","","1,807,525","0.4%","6.1%","10.5%","2.4%","10.5%","4.3%","2.0%","9.1%","11.7%","26.5%","8.3%","4.6%","3.7%","","1,807,525","80.8%","12.8%","6.3%","0.2%","","1,385,437","4.9%","3.4%","6.8%","6.9%","10.0%","15.4%","12.2%","17.6%","9.6%","13.2%","(X)","(X)","78.7%","(X)","31.7%","(X)","21.9%","(X)","4.7%","(X)","3.3%","(X)","11.6%","902,996","2.7%","1.6%","4.2%","5.1%","8.3%","14.3%","12.6%","21.0%","12.3%","17.8%","(X)","(X)","(X)","482,441","(X)","(X)","(X)","(X)","(X)","","3,520,172","94.9%","71.3%","35.7%","5.1%","786,563","2.9%","2,138,383","1,737,273","1,636,600","93.4%","83.0%","12.5%","6.6%","100,673","86.9%","44.8%","45.3%","13.1%","401,110","92.0%","56.3%","41.2%","8.0%","","6.7%","10.9%","8.3%","2.7%","3.7%","2.4%","20.7%","28.7%","26.7%","9.8%","13.0%","12.7%","14.0%","12.3%","8.9%","9.4%","7.2%","7.1%","20.6%"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","787,102","489,325","485,206","456,872","28,334","4,119","297,777","485,206","(X)","410,713","239,065","238,476","224,866","61,236","43,511","130,671","99,730","","451,927","356,251","38,702","9,946","9,552","5,149","32,327","26.2","","456,872","186,387","78,522","98,658","40,035","53,270","","456,872","4,771","31,582","36,414","9,532","53,459","26,594","5,733","43,116","46,360","114,152","40,155","19,304","25,700","","456,872","366,790","69,421","19,755","906","","370,953","19,160","13,010","25,410","32,990","43,427","65,843","51,437","62,935","28,648","28,093","69,110","92,308","282,155","91,001","132,700","22,546","103,455","31,283","16,992","10,707","9,089","2,213","39,475","243,012","7,099","4,494","11,174","15,307","25,676","42,699","37,169","51,072","24,072","24,250","84,825","107,809","36,574","127,941","41,157","57,350","37,369","56,025","47,363","","951,930","896,359","683,311","370,386","55,571","217,221","8,287","556,662","437,733","413,577","381,204","343,571","50,773","32,373","24,156","20,486","10,896","10,527","3,670","118,929","108,684","66,859","52,448","10,245","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Percent","","787,102","62.2%","61.6%","58.0%","3.6%","0.5%","37.8%","485,206","5.8%","410,713","58.2%","58.1%","54.8%","61,236","71.1%","130,671","76.3%","","451,927","78.8%","8.6%","2.2%","2.1%","1.1%","7.2%","(X)","","456,872","40.8%","17.2%","21.6%","8.8%","11.7%","","456,872","1.0%","6.9%","8.0%","2.1%","11.7%","5.8%","1.3%","9.4%","10.1%","25.0%","8.8%","4.2%","5.6%","","456,872","80.3%","15.2%","4.3%","0.2%","","370,953","5.2%","3.5%","6.8%","8.9%","11.7%","17.7%","13.9%","17.0%","7.7%","7.6%","(X)","(X)","76.1%","(X)","35.8%","(X)","27.9%","(X)","4.6%","(X)","2.5%","(X)","10.6%","243,012","2.9%","1.8%","4.6%","6.3%","10.6%","17.6%","15.3%","21.0%","9.9%","10.0%","(X)","(X)","(X)","127,941","(X)","(X)","(X)","(X)","(X)","","951,930","94.2%","71.8%","38.9%","5.8%","217,221","3.8%","556,662","437,733","413,577","92.2%","83.1%","12.3%","7.8%","24,156","84.8%","45.1%","43.6%","15.2%","118,929","91.4%","56.2%","44.1%","8.6%","","7.7%","13.5%","13.1%","3.7%","5.4%","3.6%","21.5%","30.1%","32.7%","11.4%","17.2%","16.8%","20.3%","15.6%","9.9%","10.9%","6.5%","8.7%","22.4%"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","586,181","414,396","411,398","382,108","29,290","2,998","171,785","411,398","(X)","311,929","215,394","214,823","199,205","50,225","38,831","67,977","53,255","","379,090","121,780","18,708","119,569","47,319","25,242","46,472","30.9","","382,108","250,232","51,907","55,564","10,168","14,237","","382,108","587","10,770","4,295","2,143","17,562","12,424","13,889","24,341","91,778","69,485","34,507","36,298","64,029","","382,108","270,253","94,757","16,520","578","","288,307","24,083","11,315","15,615","15,997","20,898","35,788","30,691","47,177","29,680","57,063","90,842","133,587","234,965","140,854","55,645","17,174","44,251","43,080","14,186","9,380","10,271","3,414","35,120","123,496","7,129","3,306","5,939","6,104","8,384","12,275","10,511","17,591","14,676","37,581","120,337","173,874","58,659","164,811","75,477","100,305","59,677","84,061","73,682","","692,059","666,771","489,794","245,525","25,288","136,567","2,669","471,986","384,634","357,547","343,695","307,204","43,948","13,852","27,087","24,508","9,462","16,312","2,579","87,352","81,632","42,999","44,091","5,720","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Percent","","586,181","70.7%","70.2%","65.2%","5.0%","0.5%","29.3%","411,398","7.1%","311,929","69.1%","68.9%","63.9%","50,225","77.3%","67,977","78.3%","","379,090","32.1%","4.9%","31.5%","12.5%","6.7%","12.3%","(X)","","382,108","65.5%","13.6%","14.5%","2.7%","3.7%","","382,108","0.2%","2.8%","1.1%","0.6%","4.6%","3.3%","3.6%","6.4%","24.0%","18.2%","9.0%","9.5%","16.8%","","382,108","70.7%","24.8%","4.3%","0.2%","","288,307","8.4%","3.9%","5.4%","5.5%","7.2%","12.4%","10.6%","16.4%","10.3%","19.8%","(X)","(X)","81.5%","(X)","19.3%","(X)","15.3%","(X)","4.9%","(X)","3.6%","(X)","12.2%","123,496","5.8%","2.7%","4.8%","4.9%","6.8%","9.9%","8.5%","14.2%","11.9%","30.4%","(X)","(X)","(X)","164,811","(X)","(X)","(X)","(X)","(X)","","692,059","96.3%","70.8%","35.5%","3.7%","136,567","2.0%","471,986","384,634","357,547","96.1%","85.9%","12.3%","3.9%","27,087","90.5%","34.9%","60.2%","9.5%","87,352","93.5%","49.2%","50.5%","6.5%","","11.3%","17.9%","10.5%","3.2%","4.4%","0.9%","27.0%","34.7%","31.5%","15.5%","22.8%","22.7%","19.5%","24.4%","13.8%","13.8%","13.7%","13.3%","18.9%"
"Florida","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","17,486,583","10,308,068","10,240,825","9,684,712","556,113","67,243","7,178,515","10,240,825","(X)","9,016,476","4,915,268","4,904,355","4,637,617","1,291,440","878,949","2,688,319","1,952,333","","9,559,753","7,431,583","878,107","154,580","132,932","220,516","742,035","27.9","","9,684,712","3,520,614","1,898,161","2,354,471","899,472","1,011,994","","9,684,712","84,576","761,223","492,488","252,628","1,207,296","561,801","168,168","745,885","1,284,832","2,039,904","1,157,703","511,504","416,704","","9,684,712","7,961,083","1,132,031","572,953","18,645","","7,931,313","494,959","329,848","737,220","788,025","1,094,783","1,453,714","990,657","1,088,541","443,475","510,091","57,703","83,104","5,763,419","82,864","2,978,751","20,545","1,797,631","30,158","396,002","10,060","177,524","2,600","1,044,055","5,118,059","189,291","117,705","339,526","440,535","679,432","976,357","727,613","856,216","366,981","424,403","69,670","96,492","32,848","2,813,254","36,698","54,817","32,098","45,980","39,541","","20,897,188","18,250,257","13,150,816","7,710,771","2,646,931","4,455,752","320,796","12,163,183","9,367,241","8,877,117","7,383,892","6,932,580","680,994","1,493,225","490,124","295,424","202,459","106,527","194,700","2,795,942","2,208,590","1,422,171","974,878","587,352","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Percent","","17,486,583","58.9%","58.6%","55.4%","3.2%","0.4%","41.1%","10,240,825","5.4%","9,016,476","54.5%","54.4%","51.4%","1,291,440","68.1%","2,688,319","72.6%","","9,559,753","77.7%","9.2%","1.6%","1.4%","2.3%","7.8%","(X)","","9,684,712","36.4%","19.6%","24.3%","9.3%","10.4%","","9,684,712","0.9%","7.9%","5.1%","2.6%","12.5%","5.8%","1.7%","7.7%","13.3%","21.1%","12.0%","5.3%","4.3%","","9,684,712","82.2%","11.7%","5.9%","0.2%","","7,931,313","6.2%","4.2%","9.3%","9.9%","13.8%","18.3%","12.5%","13.7%","5.6%","6.4%","(X)","(X)","72.7%","(X)","37.6%","(X)","22.7%","(X)","5.0%","(X)","2.2%","(X)","13.2%","5,118,059","3.7%","2.3%","6.6%","8.6%","13.3%","19.1%","14.2%","16.7%","7.2%","8.3%","(X)","(X)","(X)","2,813,254","(X)","(X)","(X)","(X)","(X)","","20,897,188","87.3%","62.9%","36.9%","12.7%","4,455,752","7.2%","12,163,183","9,367,241","8,877,117","83.2%","78.1%","7.7%","16.8%","490,124","60.3%","41.3%","21.7%","39.7%","2,795,942","79.0%","50.9%","34.9%","21.0%","","9.4%","15.2%","13.8%","5.5%","7.4%","5.7%","22.7%","31.8%","34.2%","13.3%","18.7%","18.3%","20.2%","17.6%","12.0%","12.5%","10.5%","10.5%","24.5%"
"Georgia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","8,296,817","5,254,983","5,201,775","4,910,269","291,506","53,208","3,041,834","5,201,775","(X)","4,313,854","2,536,453","2,529,900","2,380,807","745,128","498,345","1,608,414","1,159,873","","4,852,255","3,771,815","451,008","93,987","71,450","87,425","376,570","28.7","","4,910,269","1,890,233","786,601","1,082,531","430,069","720,835","","4,910,269","52,473","324,930","516,638","137,211","555,741","327,935","112,008","312,036","622,554","1,025,115","452,873","232,952","237,803","","4,910,269","3,934,266","701,347","265,399","9,257","","3,830,264","251,018","160,845","344,412","354,979","478,255","673,399","486,119","569,103","241,942","270,192","61,224","85,691","3,029,043","87,339","1,124,022","19,624","751,124","27,961","202,365","10,034","63,879","2,728","468,521","2,565,233","104,942","62,297","173,814","205,874","295,132","454,486","362,070","463,525","207,025","236,068","74,127","99,832","32,427","1,265,031","37,306","53,355","34,603","51,053","41,521","","10,321,846","8,976,552","6,868,070","3,211,744","1,345,294","2,658,741","196,271","6,233,591","4,813,737","4,557,063","3,849,713","3,690,421","278,135","707,350","256,674","149,925","107,589","49,653","106,749","1,419,854","1,097,708","737,160","469,647","322,146","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
