"    Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16.0%","","22.7%","25.4%","21.8%","22.5%","15.1%","19.5%","12.6%","11.0%","10.2%","","14.2%","17.7%","","11.7%","25.6%","18.6%","13.3%","15.6%","32.7%","21.2%","29.2%","11.2%","","12.7%","28.5%","15.3%","10.9%","4.3%","","8.6%","7.0%","5.5%","8.7%","34.7%","29.4%","40.3%","","14.2%","3.2%","19.6%","23.1%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.7%","26.5%","32.6%","99.9%","94.8%","56.7%","24.4%","24.7%","30.1%","32.6%","21.8%","20.5%","(X)","4.1%","45.4%","45.9%"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","719,445","","179,636","51,130","128,506","178,610","453,742","179,302","274,440","130,526","86,067","","372,211","347,234","","457,342","22,437","103,755","46,733","10,232","11,897","67,049","51,413","431,169","","476,039","32,169","133,906","165,683","144,281","","366,738","340,447","180,947","159,500","26,291","15,790","10,501","","558,640","238,053","165,136","155,451","","34,862","98,417","124,802","163,940","179,301","291,150","393,120","476,213","151,899","85,288","66,611","350","643","17,323","35,343","21,120","21,657","26,251","18,942","10,270","7,451","69,592","42,955","39,352"
"    Below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","74,369","","24,864","8,277","16,587","23,902","43,911","21,410","22,501","9,428","5,594","","35,939","38,430","","32,831","2,494","24,998","4,316","1,703","973","7,054","5,307","30,557","","39,945","6,751","18,257","10,887","4,050","","22,515","15,845","6,978","8,867","6,670","4,022","2,648","","51,568","4,013","20,131","27,424","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29,020","14,786","14,234","348","607","5,911","5,508","4,099","3,958","5,209","1,977","1,403","(X)","1,999","11,697","15,324"
"    Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10.3%","","13.8%","16.2%","12.9%","13.4%","9.7%","11.9%","8.2%","7.2%","6.5%","","9.7%","11.1%","","7.2%","11.1%","24.1%","9.2%","16.6%","8.2%","10.5%","10.3%","7.1%","","8.4%","21.0%","13.6%","6.6%","2.8%","","6.1%","4.7%","3.9%","5.6%","25.4%","25.5%","25.2%","","9.2%","1.7%","12.2%","17.6%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","19.1%","17.3%","21.4%","99.4%","94.4%","34.1%","15.6%","19.4%","18.3%","19.8%","10.4%","13.7%","(X)","2.9%","27.2%","38.9%"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,012,999","","1,609,860","422,733","1,187,127","1,602,398","4,152,856","1,595,793","2,557,063","1,674,632","1,250,283","","3,456,033","3,556,966","","5,193,539","309,482","301,369","235,337","13,559","468,912","490,801","2,205,467","3,812,377","","4,767,130","565,859","1,125,568","1,612,890","1,462,813","","3,397,597","3,201,348","1,706,853","1,494,495","196,249","105,138","91,111","","5,587,616","2,303,761","1,221,619","2,062,236","","459,315","1,306,598","1,625,454","2,102,066","2,311,034","3,542,709","4,526,843","5,253,860","1,410,429","709,724","700,705","2,086","4,739","169,326","289,900","164,892","179,012","220,479","198,027","181,968","7,694","604,007","307,248","499,174"
"    Below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","990,528","","321,919","91,288","230,631","315,060","557,717","264,546","293,171","161,297","110,892","","456,524","534,004","","633,069","61,054","95,057","27,097","2,056","96,005","76,190","424,521","364,605","","536,776","138,897","157,650","164,826","75,403","","277,206","219,335","111,814","107,521","57,871","28,748","29,123","","701,323","69,530","208,651","423,142","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","330,605","155,727","174,878","2,086","4,478","75,254","54,389","33,971","39,504","55,603","33,605","31,715","(X)","19,832","108,929","201,844"
"    Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14.1%","","20.0%","21.6%","19.4%","19.7%","13.4%","16.6%","11.5%","9.6%","8.9%","","13.2%","15.0%","","12.2%","19.7%","31.5%","11.5%","15.2%","20.5%","15.5%","19.2%","9.6%","","11.3%","24.5%","14.0%","10.2%","5.2%","","8.2%","6.9%","6.6%","7.2%","29.5%","27.3%","32.0%","","12.6%","3.0%","17.1%","20.5%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","23.4%","21.9%","25.0%","100.0%","94.5%","44.4%","18.8%","20.6%","22.1%","25.2%","17.0%","17.4%","(X)","3.3%","35.5%","40.4%"
"Arkansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,923,585","","689,387","184,371","505,016","686,161","1,740,073","637,170","1,102,903","680,372","494,125","","1,426,604","1,496,981","","2,210,330","435,859","18,478","45,374","10,311","86,775","116,458","225,401","2,097,443","","1,982,659","249,503","666,599","588,189","478,368","","1,372,472","1,302,120","676,998","625,122","70,352","38,079","32,273","","2,312,119","979,154","453,663","879,302","","196,374","628,074","798,280","1,032,826","1,126,037","1,664,206","2,062,404","2,344,218","549,394","265,588","283,806","765","2,150","68,683","92,640","61,282","70,907","97,251","78,415","77,301","6,975","212,417","105,684","231,293"
"    Below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","470,190","","151,653","47,630","104,023","148,712","270,179","127,320","142,859","73,387","48,358","","206,639","263,551","","290,243","124,695","3,917","5,232","2,713","21,295","22,095","50,515","266,935","","256,121","64,085","102,388","68,150","21,498","","118,741","94,536","40,877","53,659","24,205","11,204","13,001","","332,065","35,217","89,183","207,665","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","160,615","69,995","90,620","765","2,111","34,958","21,776","15,994","22,717","31,171","16,586","14,537","(X)","9,988","44,796","105,831"
"    Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16.1%","","22.0%","25.8%","20.6%","21.7%","15.5%","20.0%","13.0%","10.8%","9.8%","","14.5%","17.6%","","13.1%","28.6%","21.2%","11.5%","26.3%","24.5%","19.0%","22.4%","12.7%","","12.9%","25.7%","15.4%","11.6%","4.5%","","8.7%","7.3%","6.0%","8.6%","34.4%","29.4%","40.3%","","14.4%","3.6%","19.7%","23.6%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.2%","26.4%","31.9%","100.0%","98.2%","50.9%","23.5%","26.1%","32.0%","32.1%","21.2%","18.8%","(X)","4.7%","42.4%","45.8%"
"California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,589,882","","8,815,673","2,366,522","6,449,151","8,778,510","24,225,828","9,360,818","14,865,010","7,784,731","5,548,381","","19,083,262","19,506,620","","21,656,742","2,149,401","302,286","5,748,648","146,172","5,523,863","3,062,770","15,111,394","14,100,745","","26,327,978","4,181,094","5,325,210","7,597,299","9,224,375","","19,791,987","18,578,295","10,021,457","8,556,838","1,213,692","649,855","563,837","","30,776,431","12,973,869","7,386,268","10,416,294","","2,174,034","6,477,022","8,064,060","10,360,000","11,344,790","17,194,146","21,990,312","25,676,322","6,962,553","3,490,609","3,471,944","9,889","25,263","686,472","1,719,772","963,931","889,392","1,043,822","851,945","772,067","7,655","3,046,729","1,631,646","2,284,178"
"    Below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,853,434","","1,480,649","401,530","1,079,119","1,446,109","2,800,246","1,294,112","1,506,134","812,230","572,539","","2,194,991","2,658,443","","2,464,103","421,298","55,491","577,350","17,823","957,857","359,512","2,454,410","1,234,660","","2,736,802","868,529","711,428","715,343","441,502","","1,359,261","1,058,398","513,080","545,318","300,863","151,524","149,339","","3,532,557","328,576","1,019,544","2,184,437","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1,732,502","767,449","965,053","9,625","24,061","357,711","306,425","187,979","208,542","279,105","183,440","175,614","(X)","92,938","525,386","1,114,178"
"    Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12.6%","","16.8%","17.0%","16.7%","16.5%","11.6%","13.8%","10.1%","10.4%","10.3%","","11.5%","13.6%","","11.4%","19.6%","18.4%","10.0%","12.2%","17.3%","11.7%","16.2%","8.8%","","10.4%","20.8%","13.4%","9.4%","4.8%","","6.9%","5.7%","5.1%","6.4%","24.8%","23.3%","26.5%","","11.5%","2.5%","13.8%","21.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","24.9%","22.0%","27.8%","97.3%","95.2%","52.1%","17.8%","19.5%","23.4%","26.7%","21.5%","22.7%","(X)","3.1%","32.2%","48.8%"
"Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,563,823","","1,241,717","326,124","915,593","1,236,493","3,529,350","1,353,929","2,175,421","1,126,932","792,756","","2,783,848","2,779,975","","4,540,932","224,108","50,510","178,069","8,626","230,826","330,752","1,203,064","3,764,977","","3,845,420","298,388","799,322","1,130,484","1,617,226","","3,064,829","2,924,726","1,567,679","1,357,047","140,103","76,655","63,448","","4,462,770","2,087,465","1,145,839","1,229,466","","258,195","727,285","918,369","1,222,739","1,364,022","2,219,502","2,991,894","3,618,768","1,223,499","628,799","594,700","1,139","3,661","164,285","328,241","151,085","144,098","178,960","141,470","110,560","7,397","593,613","314,492","315,394"
"    Below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","544,232","","143,390","40,165","103,225","138,734","341,947","177,902","164,045","88,824","58,895","","249,599","294,633","","402,481","37,637","9,054","17,793","1,024","33,236","43,007","178,418","288,526","","305,145","56,730","86,732","97,561","64,122","","187,902","153,664","68,896","84,768","34,238","18,296","15,942","","416,089","40,436","163,950","211,703","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","250,905","115,783","135,122","1,092","3,382","73,513","46,163","21,776","27,091","36,979","23,114","17,795","(X)","18,219","108,082","124,604"
"    Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9.8%","","11.5%","12.3%","11.3%","11.2%","9.7%","13.1%","7.5%","7.9%","7.4%","","9.0%","10.6%","","8.9%","16.8%","17.9%","10.0%","11.9%","14.4%","13.0%","14.8%","7.7%","","7.9%","19.0%","10.9%","8.6%","4.0%","","6.1%","5.3%","4.4%","6.2%","24.4%","23.9%","25.1%","","9.3%","1.9%","14.3%","17.2%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","20.5%","18.4%","22.7%","95.9%","92.4%","44.7%","14.1%","14.4%","18.8%","20.7%","16.3%","16.1%","(X)","3.1%","34.4%","39.5%"
"Connecticut","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,466,935","","726,564","180,055","546,509","723,982","2,145,145","726,643","1,418,502","836,895","595,226","","1,687,721","1,779,214","","2,578,763","365,535","8,710","158,623","1,101","185,831","168,372","572,955","2,292,010","","2,451,312","216,287","638,819","604,888","991,318","","1,901,515","1,786,715","918,950","867,765","114,800","62,401","52,399","","2,832,078","1,248,218","712,965","870,895","","155,534","442,374","550,656","707,350","772,414","1,208,015","1,622,842","1,994,587","681,499","323,619","357,880","822","1,653","54,995","139,274","70,535","93,322","121,678","98,907","100,313","7,178","292,751","148,482","240,266"
"    Below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","339,156","","94,665","25,146","69,519","92,237","201,850","87,642","114,208","63,605","42,641","","147,174","191,982","","191,314","64,059","1,641","13,917","139","46,895","21,191","120,421","135,027","","202,968","51,577","71,577","46,476","33,338","","104,256","76,265","30,683","45,582","27,991","13,462","14,529","","254,800","15,891","84,041","154,868","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","140,312","62,324","77,988","822","1,577","23,872","21,821","12,595","19,987","28,729","15,747","15,162","(X)","6,344","43,688","90,280"
"    Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9.8%","","13.0%","14.0%","12.7%","12.7%","9.4%","12.1%","8.1%","7.6%","7.2%","","8.7%","10.8%","","7.4%","17.5%","18.8%","8.8%","12.6%","25.2%","12.6%","21.0%","5.9%","","8.3%","23.8%","11.2%","7.7%","3.4%","","5.5%","4.3%","3.3%","5.3%","24.4%","21.6%","27.7%","","9.0%","1.3%","11.8%","17.8%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","20.6%","19.3%","21.8%","100.0%","95.4%","43.4%","15.7%","17.9%","21.4%","23.6%","15.9%","15.1%","(X)","2.2%","29.4%","37.6%"
"Delaware","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","941,266","","199,880","53,300","146,580","198,918","563,339","197,963","365,376","244,072","178,047","","453,371","487,895","","637,476","203,154","3,506","38,098","689","21,490","36,853","89,084","581,495","","669,669","60,508","206,663","181,188","221,310","","481,663","453,527","230,894","222,633","28,136","14,671","13,465","","764,586","330,383","171,773","262,430","","48,737","138,828","170,178","221,226","244,659","388,702","517,118","632,686","185,862","84,512","101,350","227","703","15,564","36,729","20,293","25,353","35,439","28,213","23,341","7,795","80,252","38,356","67,254"
"    Below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","107,641","","34,390","10,809","23,581","33,468","61,671","27,070","34,601","18,857","11,580","","45,776","61,865","","56,220","35,806","545","4,327","63","4,573","6,107","16,413","46,530","","60,363","12,246","25,673","14,619","7,825","","30,677","23,370","9,269","14,101","7,307","3,385","3,922","","75,995","7,201","23,445","45,349","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","41,665","16,799","24,866","227","688","8,077","6,188","3,871","5,944","9,522","3,779","3,369","(X)","2,506","12,628","26,531"
"    Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11.4%","","17.2%","20.3%","16.1%","16.8%","10.9%","13.7%","9.5%","7.7%","6.5%","","10.1%","12.7%","","8.8%","17.6%","15.5%","11.4%","9.1%","21.3%","16.6%","18.4%","8.0%","","9.0%","20.2%","12.4%","8.1%","3.5%","","6.4%","5.2%","4.0%","6.3%","26.0%","23.1%","29.1%","","9.9%","2.2%","13.6%","17.3%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","22.4%","19.9%","24.5%","100.0%","97.9%","51.9%","16.8%","19.1%","23.4%","26.9%","13.4%","14.4%","(X)","3.1%","32.9%","39.4%"
"District of Columbia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","669,089","","124,153","44,390","79,763","123,861","461,430","211,560","249,870","117,160","83,506","","316,793","352,296","","271,633","307,255","2,310","26,284","304","33,023","28,280","74,502","243,060","","495,624","38,913","80,997","76,832","298,882","","401,968","373,728","179,583","194,145","28,240","13,391","14,849","","554,825","298,186","111,261","145,378","","58,140","125,169","142,659","168,907","179,695","243,822","306,497","357,974","253,859","119,391","134,468","50","195","23,602","94,083","38,407","28,019","30,400","22,529","16,574","7,931","148,356","49,925","55,578"
"    Below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
